Catalog Number,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Author,Year,Country,State,County,Locality,Other Descriptor,Body of Water,Latitude,Longitude,Elevation,GBIF Precision,Collected Beginning,Collected Ending,Collector,Method,Habitat,Identified by,Year Identified,Type,Type Name,Male,Female,Immature,Pupa,Exuvia,Adult,Other,Age Unknown,Preparation,Created,Modified
Insect Collection 655561,Insecta,Diptera, , ,Tipulidae, , ,Tipula, , , , , ,United States,Illinois,Lake,1.6 km E Highland Park,Millard Park,tributary of Lake Michigan,42.17942,-87.78055, , ,05/28/2013, ,R.E. DeWalt, , ,R.E. DeWalt,2013, , , , ,1, , , , , ,Vial,9/11/2013 12:00:00 AM,2/3/2015 12:00:00 AM
Insect Collection 658740,Insecta,Diptera, , ,Tipulidae, , ,Tipula, , , , , ,United States,Illinois,Montgomery,0.5 km W Fillmore at 800N, ,Lanes Branch,39.11558,-89.28287, ,10,06/23/2016, ,"E.J. South, R.E. DeWalt", ,Stream,E. J. South,2017, , , , ,1, , , , , ,Vial,12/13/2018 12:00:00 AM,12/18/2018 12:00:00 AM
Insect Collection 658753,Insecta,Diptera, , ,Tipulidae, , ,Tipula, , , , , ,United States,Illinois,Fayette,3.8 km NNE Bluff City at 1200E., ,Camp Creek,39.99489,-89.02857, ,10,06/23/2016, ,"E.J. South, R.E. DeWalt", ,Stream,E. J. South,2017, , , , , , , ,1, , ,Vial,12/13/2018 12:00:00 AM,12/18/2018 12:00:00 AM
Insect Collection 658708,Insecta,Diptera, , ,Tipulidae, , ,Tipula, , , , , ,United States,Illinois,Montgomery,8.4 km NNE Fillmore at 3100N, ,Hurricane Creek,39.18901,-89.25801, ,10,06/23/2016, ,"E.J. South, R.E. DeWalt", ,Stream,E. J. South,2017, , , , ,1, , , , , ,Vial,12/13/2018 12:00:00 AM,12/18/2018 12:00:00 AM
Insect Collection 32772,Insecta,Diptera, , ,Tipulidae, , ,Tipula, , , , , ,United States,Tennessee,Blount,Tabcat Creek drainage,Great Smoky Mountains National Park,Seeps of Cattail Branch,35.5149,-83.9763,311,10,05/21/2003,05/22/2003,R.E. DeWalt,Hand,seep,R.E. DeWalt,2003, , , , ,1, , , , , ,Vial,11/30/2003 12:00:00 AM,2/3/2015 12:00:00 AM
Insect Collection 658764,Insecta,Diptera, , ,Tipulidae, , ,Tipula, , , , , ,United States,Illinois,Fayette,3.8 km SW Brownstown at 1475E, ,Sandy Run,38.96925,-88.97995, ,10,06/24/2016, ,E. J. South, ,Stream,E. J. South,2017, , , , , , , ,1, , ,Vial,12/13/2018 12:00:00 AM,12/18/2018 12:00:00 AM
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,ultima, ,Alexander,1915, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,cunctans, ,Say,1823, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,morrisoni, ,Alexander,1915, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,flavoumbrosa, ,Alexander,1918, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,senega, ,Alexander,1915, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
