Catalog Number,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Author,Year,Country,State,County,Locality,Other Descriptor,Body of Water,Latitude,Longitude,Elevation,GBIF Precision,Collected Beginning,Collected Ending,Collector,Method,Habitat,Identified by,Year Identified,Type,Type Name,Male,Female,Immature,Pupa,Exuvia,Adult,Other,Age Unknown,Preparation,Created,Modified
Ephemeroptera 4697,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Union,Anna, , ,37.46028,-89.24694, ,1000,05/06/1925, ,T.H. Frison, , , , , , , , , , , , , , ,Vial,11/5/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4698,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Union,Anna, , ,37.46028,-89.24694, ,1000,05/06/1925, ,T.H. Frison, , , , , , , , , , , , , , ,Vial,11/5/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4734,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Union,Anna, , ,37.46028,-89.24694, ,1000,07/22/1938, ,"B.D. Burks, Boesel", , , , , , , , , , , , , , ,Vial,11/12/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 13241,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States, , ,No other data, , , , , , , , , , , , , , , , , ,44, , , , , ,Vial,9/16/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 13243,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States, , ,No other data, , , , , , , , , , , , , , , , , ,1, , , , , ,Vial,9/16/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 13245,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States, , ,No other data, , , , , , , , , , , , , , , , , ,2, , , , , ,Vial,9/16/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 13250,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States, , ,No other data, , , , , , , , , , , , , , , , , ,5, , , , , ,Vial,9/16/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Loan Invoice 535,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Unknown, , , , , , , , , , , , , , , , , , , , , , , ,19, , ,Vial,7/25/2006 12:00:00 AM,3/29/2012 12:00:00 AM
Loan Invoice 532,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Unknown, , , , , , , , , , , , , , , , , , , , , , , ,7, , ,Vial,7/25/2006 12:00:00 AM,3/6/2012 12:00:00 AM
Loan Invoice 533,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Unknown, , , , , , , , , , , , , , , , ,Type, , , , , , ,36, , ,Vial,7/25/2006 12:00:00 AM,3/29/2012 12:00:00 AM
Loan Invoice 534,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Unknown, , , , , , , , , , , , , , , , , , , , , , , ,16, , ,Vial,7/25/2006 12:00:00 AM,3/29/2012 12:00:00 AM
Loan Invoice 1260,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Unknown, , , , , , , , , , , , , , , , , , , , , , , , ,4, ,Vial,4/23/2014 12:00:00 AM,4/23/2014 12:00:00 AM
Loan Invoice 1445,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Unknown, , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,Vial,4/23/2014 12:00:00 AM,4/23/2014 12:00:00 AM
Loan Invoice 4172,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Unknown, , , , , , , , , , , , , , , , , , , , , , , ,4,6, ,Vial,6/18/2014 12:00:00 AM,6/18/2014 12:00:00 AM
Ephemeroptera 4548,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Kentucky,Jefferson,Louisville, ,Beargrass Creek,38.25417,-85.75944, ,10000,10/08/1937, ,"H.H. Ross, B.D. Burks", , , , , , , , , , , ,2, , ,Vial,10/21/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4578,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Kentucky,Jefferson,Louisville, ,Beargrass Creek,38.25417,-85.75944, ,10000,10/08/1937, ,"H.H. Ross, B.D. Burks", , , , , , , , , , , ,1, , ,Vial,10/22/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4658,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Kentucky,Jefferson,Louisville, ,Beargrass Creek,38.25417,-85.75944, ,10000,10/08/1937, ,"H.H. Ross, B.D. Burks", , , , , , , , , , , ,2, , ,Vial,11/3/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4576,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Missouri,Taney,Hollister, , ,36.62111,-93.21528, ,10000,06/14/1938, ,V. Kite, , , , , , , , , , , ,2, , ,Vial,10/22/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4704,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Missouri,Crawford,Steelville, ,Meramec River,37.98149,-91.37028, ,1000,10/08/1938, ,"H.H. Ross, B.D. Burks", , , , , , , , , , , ,7, , ,Vial,11/6/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4561,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Ohio,Ottawa,"Put-in-Bay, South Bass Island", ,Lake Erie,41.65417,-82.82083, ,1000,07/29/1937, , , , , , , , , , , , , ,1, , ,Vial,10/22/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4657,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Missouri,Marion,Palmyra, ,River outlet of Spring Lake,39.79417,-91.52306, ,10000,05/27/1938, ,"H.H. Ross, B.D. Burks", , , , , , , , , , , ,6, , ,Vial,11/3/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Insect Collection 3226,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Mexico,Nuevo León, ,Municipio de Galeana, , , , ,2210, ,07/22/1938, ,H.H. Hoogstraal, , ,G.F. Edmunds, , , , , , , , ,31, , ,Vial,1/4/2002 12:00:00 AM,4/9/2008 12:00:00 AM
Insect Collection 3228,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Mexico,Nuevo León, ,Municipio de Galeana, , , , ,2210, ,07/22/1938, ,H.H. Hoogstraal, , ,G.F. Edmunds, , , , , ,1, , , , , ,Vial,1/4/2002 12:00:00 AM,4/9/2008 12:00:00 AM
Insect Collection 3232,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Mexico,Nuevo León, ,Municipio de Galeana, , , , ,2210, ,07/08/1938, ,H.H. Hoogstraal, , ,G.F. Edmunds, , , , , ,12, , , , , ,Vial,1/4/2002 12:00:00 AM,4/9/2008 12:00:00 AM
Insect Collection 3236,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Mexico,Nuevo León, ,Municipio de Galeana, , , , ,2210, ,07/22/1938, ,H.H. Hoogstraal, , ,G.F. Edmunds, , , , , ,8, , , , , ,Vial,1/4/2002 12:00:00 AM,4/9/2008 12:00:00 AM
Insect Collection 3237,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Mexico,Nuevo León, ,Municipio de Galeana, , , , ,2210, ,07/29/1938, ,H.H. Hoogstraal, , ,G.F. Edmunds, , , , , ,1, , , , , ,Vial,1/4/2002 12:00:00 AM,4/9/2008 12:00:00 AM
Insect Collection 3238,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Mexico,Nuevo León, ,Municipio de Galeana, , , , ,2210, ,07/08/1938, ,H.H. Hoogstraal, , ,G.F. Edmunds, , , , , ,3, , , , , ,Vial,1/4/2002 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4662,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,La Salle,Baker, ,Indian Creek,41.52297,-88.81657, ,1000,05/12/1938, ,"H.H. Ross, B.D. Burks", , , , , , , , , , , , , , ,Vial,11/3/1998 12:00:00 AM,7/3/2012 12:00:00 AM
Ephemeroptera 4597,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Kankakee,Kankakee, ,Kankakee River,41.11343,-87.87048, ,1000,05/26/1935, ,"H.H. Ross, C.O. Mohr", , , , , , , , , , , , , , ,Vial,10/23/1998 12:00:00 AM,7/3/2012 12:00:00 AM
Ephemeroptera 4638,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Kankakee,Kankakee, ,Kankakee River,41.11343,-87.87048, ,1000,05/17/1938, ,H.H. Ross, , , , , , , , , , , , , , ,Vial,10/29/1998 12:00:00 AM,7/3/2012 12:00:00 AM
Ephemeroptera 4733,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Vermilion,Muncie at US-150, ,Stony Creek,40.11323,-87.83275, ,1000,09/07/1931, ,H.H. Ross, , , , , , , , , , , , , , ,Vial,11/12/1998 12:00:00 AM,8/10/2010 12:00:00 AM
Insect Collection 552445,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Michigan,Benzie,Honor at Zimmerman Rd., ,Platte River,44.66026,-86.01861, ,10,03/26/2011, ,"R.E. DeWalt, M. Pessino", , ,R.E. DeWalt,2011, , , , ,30, , , , , ,Vial,8/8/2011 12:00:00 AM,2/3/2015 12:00:00 AM
Insect Collection 552446,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Michigan,Benzie,Honor at Zimmerman Rd., ,Platte River,44.66026,-86.01861, ,10,03/26/2011, ,"R.E. DeWalt, M. Pessino", , ,R.E. DeWalt,2011, , , , ,30, , , , , ,Vial,8/8/2011 12:00:00 AM,2/3/2015 12:00:00 AM
Insect Collection 552447,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Michigan,Benzie,Honor at Zimmerman Rd., ,Platte River,44.66026,-86.01861, ,10,03/26/2011, ,"R.E. DeWalt, M. Pessino", , ,R.E. DeWalt,2011, , , , ,17, , , , , ,Vial,8/8/2011 12:00:00 AM,2/3/2015 12:00:00 AM
Ephemeroptera 4727,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Michigan,Benzie,Honor at Zimmerman Rd., ,Platte River,44.66026,-86.01861, ,10,05/27/1939, ,"T.H. Frison, H.H. Ross", , , , , , , , , , , ,4, , ,Vial,11/11/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4569,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Pennsylvania,Bradford,Athens, ,Susquehanna River,41.95722,-76.51833, ,10000,08/05/1937, ,J.H. Eddleson, , , , , , , , , , , ,2, , ,Vial,10/22/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Insect Collection 9079,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Tennessee,Blount,"Gregory Ridge Trail, Campground #12, Great Smoky Mountains National Park",Great Smoky Mountains National Park,Forge Creek,35.5472,-83.8321,719,10,06/21/2001, ,"B.D. Heinold, N. Lowe",Blacklight trap,Stream margin,R.E. DeWalt,2002, , ,2, , , , , , , ,Vial,8/26/2002 12:00:00 AM,2/3/2015 12:00:00 AM
Insect Collection 9054,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Tennessee,Blount,"Cades Cove Campground, 100 m upstream park entrance",Great Smoky Mountains National Park,Abrams Creek,35.6047,-83.7757,573,10,06/09/2001, ,B.D. Heinold,Blacklight trap,Stream margin,R.E. DeWalt,2002, , ,4,3, , , , , , ,Vial,8/23/2002 12:00:00 AM,2/3/2015 12:00:00 AM
Insect Collection 4987,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Tennessee,Blount,Abrams Creek Campground,Great Smoky Mountains National Park,Abrams Creek,35.6103,-83.9327,360,10,05/29/2001, ,B.D. Heinold,Blacklight,Stream margin,R.E. DeWalt,2002, , , , ,1, , , , , ,Vial,8/22/2002 12:00:00 AM,4/10/2008 12:00:00 AM
Insect Collection 4876,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Tennessee,Blount,"Cades Cove, Sparks Lane",Great Smoky Mountains National Park,Abrams Creek,35.6025,-83.7939,543,10,06/19/2001, ,B.D. Heinold,Blacklight,Stream margin,R.E. DeWalt,2002, , ,1, , , , , , , ,Vial,8/16/2002 12:00:00 AM,2/3/2015 12:00:00 AM
Insect Collection 4918,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Tennessee,Blount,"100 m upstream confl. with Abrams Creek, Abrams Falls Trailhead, Great Smoky Mountains National Park",Great Smoky Mountains National Park,Mill Creek,35.5905,-83.852,522,10,06/18/2001, ,B.D. Heinold,Blacklight,Stream margin,R.E. DeWalt,2002, , , , ,1, , , , , ,Vial,8/18/2002 12:00:00 AM,4/10/2008 12:00:00 AM
Insect Collection 3234,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Alaska,Anchorage,Near Anchorage, , ,61.21806,-149.90028, ,10000,04/21/1944, ,S.E. Lienk, , ,G.F. Edmunds, , , , , ,3, , , , , ,Vial,1/4/2002 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 16091,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Colorado, , , , ,39,-105.501, ,1000000, , ,G.S. Dodds, , , , , , , , ,3, , , , , ,Vial,10/9/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 16124,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Colorado, , , , ,39,-105.501, ,1000000, , ,G.S. Dodds, , , , , , , , ,1, , , , , ,Vial,10/10/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 16125,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Colorado, , , , ,39,-105.501, ,1000000, , ,G.S. Dodds, , , , , , , , , , , ,3, , ,Vial,10/10/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4593,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Virginia,Fairfax,Great Falls, ,Potomac River,39.00038,-77.25488, ,1000,04/03/1938, ,B.D. Burks, , , , , , , , , , , ,3, , ,Vial,10/23/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4686,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Georgia,Fulton,Atlanta, , ,33.74889,-84.38806, ,100000,06/16/1940, ,P.W. Fattig, , , , , , , , , , , ,1, , ,Vial,11/5/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4598,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Texas,El Paso,El Paso, , ,31.75861,-106.48639, ,10000,04/21/1939, ,"H.H. Ross, J.A. Ross", , ,B.D. Burks, , , , , , , , ,1, , ,Vial,10/23/1998 12:00:00 AM,6/8/2012 12:00:00 AM
Ephemeroptera 4547,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Colorado,Teller,Green Mountain Falls, , ,38.935,-105.01639, ,10000,06/22/1938, ,J.A. Ross, , , , , , , , , , , ,1, , ,Vial,10/21/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4559,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Colorado,Teller,Green Mountain Falls, , ,38.935,-105.01639, ,10000,08/11/1943, ,"H.H. Ross, J.A. Ross", , , , , , , , , , , ,1, , ,Vial,10/22/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4589,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Colorado,Teller,Green Mountain Falls, , ,38.935,-105.01639, ,10000,07/17/1938, ,"H.H. Ross, J.A. Ross", , , , , , , , , , , ,1, , ,Vial,10/22/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4664,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Fayette,Vandalia, , ,38.96056,-89.09361, ,10000,04/16/1946, ,"C.O. Mohr, B.D. Burks", , , , , , , , , , , , , , ,Vial,11/3/1998 12:00:00 AM,6/19/2012 12:00:00 AM
Ephemeroptera 4625,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Fayette,Vandalia, , ,38.96056,-89.09361, ,10000,04/16/1946, ,"C.O. Mohr, B.D. Burks", , , , , , , , , , , , , , ,Vial,10/29/1998 12:00:00 AM,4/10/2008 12:00:00 AM
Ephemeroptera 4626,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Fayette,Vandalia, , ,38.96056,-89.09361, ,10000,04/16/1946, ,"C.O. Mohr, B.D. Burks", , , , , , , , , , , , , , ,Vial,10/29/1998 12:00:00 AM,6/19/2012 12:00:00 AM
Ephemeroptera 4601,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Kansas,Geary,Junction City, , ,39.02861,-96.83111, ,10000,07/29/1938, ,H.H. Ross, , , , , , , , , , , ,2, , ,Vial,10/23/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4636,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Tennessee,Sevier,Gatlinburg, ,LeConte Creek,35.71417,-83.51028, ,10000,05/14/1939, ,"T.H. Frison, H.H. Ross", , , , , , , , , , , ,1, , ,Vial,10/29/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Insect Collection 3213,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Alaska,Aleutians West,Adak, , ,51.88,-176.65806, ,10000,08/01/1944,09/30/1944,R.E. Wulfkuhle, , ,B.D. Burks, , , , , ,5, , , , , ,Vial,1/4/2002 12:00:00 AM,6/8/2012 12:00:00 AM
Insect Collection 3225,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Mexico,Nuevo León, ,Cerro Potosi, , ,24.86667,-100.21667, ,10000,07/05/1938, ,H.H. Hoogstraal, , ,G.F. Edmunds, , , , , ,1, , , , , ,Vial,1/4/2002 12:00:00 AM,4/9/2008 12:00:00 AM
Insect Collection 3233,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Mexico,Nuevo León, ,Cerro Potosi, , ,24.86667,-100.21667, ,10000,07/29/1938, ,H.H. Hoogstraal, , ,G.F. Edmunds, , , , , ,1, , , , , ,Vial,1/4/2002 12:00:00 AM,4/9/2008 12:00:00 AM
Insect Collection 3235,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Mexico,Nuevo León, ,Cerro Potosi, , ,24.86667,-100.21667, ,10000,07/01/1938,07/31/1938,H.H. Hoogstraal, , ,G.F. Edmunds, , , , , ,8, , , , , ,Vial,1/4/2002 12:00:00 AM,4/9/2008 12:00:00 AM
Insect Collection 32385,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Will,"NW Wilmington, West of IL-53",Midewin National Tallgrass Prairie,Prairie Creek,41.3625,-88.1649, ,10,06/01/1999, ,R.E. DeWalt,Dip net,Stream margin,R.E. DeWalt,2000, , , ,2, , , , , , ,Vial,11/25/2003 12:00:00 AM,2/3/2015 12:00:00 AM
Ephemeroptera 4708,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Mason,Havana, ,Quiver Creek,40.35365,-90.02104, ,1000,08/07/1895, ,C.A. Hart, , , , , , , , , , , , , , ,Vial,11/6/1998 12:00:00 AM,4/10/2008 12:00:00 AM
Ephemeroptera 4666,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Adams,Quincy, ,Mississippi River,39.93363,-91.41811, ,1000,07/05/1912, , , , , , , , , , , , , , , , ,Vial,11/3/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4729,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Adams,Quincy, ,Mississippi River,39.93363,-91.41811, ,1000,05/18/1940, ,"C.O. Mohr, B.D. Burks", , , , , , , , , , , , , , ,Vial,11/11/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4157,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Hancock,8.1 km NE Carthage, ,Rock Creek,40.463,-91.062, ,10,07/10/1997, ,R.E. DeWalt, , ,R.E. DeWalt,1998, , , , , , , , , , ,Vial,3/30/1998 12:00:00 AM,2/3/2015 12:00:00 AM
Ephemeroptera 4643,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Hardin,Elizabethtown, ,Ohio River,37.44514,-88.30372, ,1000,06/25/1932, ,"H.H. Ross, H.L. Dozier, O. Park", , , , , , , , , , , , , , ,Vial,10/29/1998 12:00:00 AM,8/24/2011 12:00:00 AM
Ephemeroptera 4642,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Jo Daviess, ,Apple River Canyon State Park,Apple River,42.44883,-90.05579, ,1000,06/02/1933, ,"H.H. Ross, L.H. Townsend", , , , , , , , , , , , , , ,Vial,10/29/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4647,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Jo Daviess, ,Apple River Canyon State Park,Apple River,42.44883,-90.05579, ,1000,06/13/1944, ,"T.H. Frison, M.W. Sanderson", , , , , , , , , , , , , , ,Vial,10/29/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4669,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Jo Daviess,Galena, ,Galena River,42.41516,-90.42521, ,1000,05/23/1940, ,H.H. Ross, , , , , , , , , , , , , , ,Vial,11/3/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4679,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Pulaski,1.5 km S White Hill; 1 km NW Karnak, ,Cache River,37.3065,-89.0217, ,1000,05/13/1986, ,M.A. Phillippi, , , , , , , , , , , , , , ,Vial,11/4/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4609,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Kane,Elgin,Trout Park Nature Preserve,"Rainbow Springs, Trout Springs",42.06515,-88.26704, ,10,06/06/1939, ,"B.D. Burks, G.T. Riegel", , , , , , , , , , , , , , ,Vial,10/25/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4610,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Kane,Elgin,Trout Park Nature Preserve,"Rainbow Springs, Trout Springs",42.06515,-88.26704, ,10,06/06/1939, ,"B.D. Burks, G.T. Riegel", , , , , , , , , , , , , , ,Vial,10/25/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4619,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,McHenry,"Richmond, US Route 12", ,North Branch Nippersink Creek,42.478,-88.306, ,10,07/17/1938, ,"B.D. Burks, Boesel", , , , , , , , , , , , , , ,Vial,10/25/1998 12:00:00 AM,8/9/2010 12:00:00 AM
Ephemeroptera 4600,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Ogle,"Oregon, below dam", ,Rock River,42.01586,-89.32697, ,1000,07/09/1925, , , , , , , , , , , , , , , , ,Vial,10/23/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4678,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Pulaski,"2 km ENE Karnak, 0.5 km N IL 169", ,Cache River,37.2971,-88.9503, ,1000,05/14/1986, ,M.A. Phillippi, , , , , , , , , , , , , , ,Vial,11/4/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4680,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Pulaski,4 km SE Karnak, ,Post Creek Cutoff,37.2608,-88.9529, ,1000,05/14/1986, ,M.A. Phillippi, , , , , , , , , , , , , , ,Vial,11/4/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4624,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Rock Island,Milan, ,Rock River,41.45577,-90.57249, ,1000,06/04/1940, ,"C.O. Mohr, B.D. Burks", , , , , , , , , , , , , , ,Vial,10/29/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4628,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Rock Island,Milan, ,Rock River,41.45577,-90.57249, ,1000,06/04/1940, ,"C.O. Mohr, B.D. Burks", , , , , , , , , , , , , , ,Vial,10/29/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4629,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Rock Island,Milan, ,Rock River,41.45577,-90.57249, ,1000,06/04/1940, ,"C.O. Mohr, B.D. Burks", , , , , , , , , , , , , , ,Vial,10/29/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4630,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Rock Island,Milan, ,Rock River,41.45577,-90.57249, ,1000,06/04/1940, ,"C.O. Mohr, B.D. Burks", , , , , , , , , , , , , , ,Vial,10/29/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4631,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Rock Island,Milan, ,Rock River,41.45577,-90.57249, ,1000,06/04/1940, ,"C.O. Mohr, B.D. Burks", , , , , , , , , , , , , , ,Vial,10/29/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4632,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Rock Island,Milan, ,Rock River,41.45577,-90.57249, ,1000,06/04/1940, ,"C.O. Mohr, B.D. Burks", , , , , , , , , , , , , , ,Vial,10/29/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4723,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Saline,Rudement, ,Blackman Creek,37.6365,-88.5172, ,1000,04/04/1946, ,"M.W. Sanderson, B.D. Burks", , , , , , , , , , , , , , ,Vial,11/11/1998 12:00:00 AM,7/27/2012 12:00:00 AM
